Unnamed: 0,A1,A2,A3,A4,A5,A6,A7,A8
120,0,0,1,0,0,0,0,0
121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1,1,1,0,0,0,0,0
123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,0,0,1,1,1,0,1,0
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,1,1,1,1,0,1,1,0
127,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
128,0,0,0,0,1,0,1,0
129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,1,1,1,0,0,0,0,1
131,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
132,1,0,0,0,0,0,1,0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0,0,0,0,1,0,0,0
135,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
136,0,0,1,1,1,0,1,1
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,0,0,0,0,1,0,0,0
139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,1,0,1,1,0,0,1,0
141,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
142,0,0,0,0,1,0,0,1
143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144,0,0,0,0,1,0,0,1
145,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
146,1,0,1,1,1,1,1,0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0,1,1,1,0,0,1,0
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,1,0,1,1,1,0,1,0
151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,1,1,0,1,0,1,1,0
153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,1,1,0,1,1,0,1,0
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
156,1,1,1,1,1,0,1,0
157,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
158,1,0,1,1,0,0,1,1
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,0,1,0,1,1,1,1,0
161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,1,1,1,1,0,1,1,0
163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,0,0,0,0,1,0,0,0
165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0,0,0,0,1,0,0,1
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168,1,1,1,1,0,1,1,0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1,1,0,0,1,0,0,1
171,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
172,1,1,1,1,0,1,1,0
173,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
174,1,1,1,0,0,0,0,1
175,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
176,0,0,1,1,1,0,1,1
177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
178,0,1,1,1,0,0,1,0
179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,0,0,1,0,0,0,0,0
181,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
182,0,0,0,1,1,0,1,1
183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,1,1,1,1,0,1,1,0
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
186,0,0,0,1,1,0,0,0
187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
188,1,1,1,1,0,1,1,0
189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190,1,1,1,1,0,1,1,0
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
192,1,1,0,1,0,1,1,0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1,1,1,0,0,0,0,0
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,1,1,1,1,0,1,1,0
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,1,1,1,1,0,1,1,1
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1,1,1,1,0,1,1,0
201,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
202,1,0,1,1,1,0,1,0
203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,0,0,0,0,1,0,1,1
205,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
206,1,0,0,1,1,1,1,1
207,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
208,1,1,1,1,0,1,1,0
209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
210,1,1,0,0,0,0,0,0
211,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
212,1,1,1,1,0,1,1,0
213,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
214,0,0,0,1,1,0,0,0
215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216,0,0,0,0,1,0,0,0
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,1,0,0,1,0,0,1,0
219,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
220,1,0,0,0,1,0,1,1
221,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
222,1,1,1,1,0,1,1,0
223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,1,1,1,1,0,1,1,0
225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
226,0,0,0,0,1,0,0,0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,1,1,1,1,0,1,1,1
229,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
230,0,0,0,0,1,0,0,0
231,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
232,1,1,1,0,0,0,0,1
233,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
234,0,0,0,1,1,0,0,1
235,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
236,1,0,1,1,0,0,1,1
237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,1,1,1,0,1,0,0,1
239,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
240,0,1,1,1,0,1,1,0
241,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
242,0,0,1,1,1,1,1,0
243,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
244,1,1,1,1,0,1,1,0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1,1,1,1,0,1,1,1
247,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
248,0,0,0,0,1,0,0,0
249,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
250,0,0,1,0,0,0,0,0
251,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
252,0,0,1,0,0,0,0,0
253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
254,1,1,1,0,0,1,0,0
255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,1,1,1,1,0,1,1,0
257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
258,0,0,1,1,1,1,1,1
259,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
260,1,1,1,0,0,0,0,0
261,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
262,1,1,1,0,0,0,0,1
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,1,1,1,0,0,0,0,0
265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
266,1,1,1,1,0,1,1,0
267,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
268,0,0,1,1,1,1,1,1
269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
270,1,1,1,0,0,0,0,0
271,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,1,1,1,1,0,1,1,0
273,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
274,1,1,1,1,0,1,1,0
275,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
276,0,1,1,1,0,1,1,0
277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,1,1,1,1,0,1,1,0
279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
280,1,1,1,1,0,1,1,0
281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
282,1,1,0,0,1,0,1,1
283,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
284,1,0,1,1,1,0,1,0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1,0,1,1,1,0,1,0
287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,1,1,1,1,1,0,0,1
289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,0,0,0,0,1,0,0,0
291,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
292,1,0,1,0,0,0,1,0
293,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
294,1,1,1,1,0,1,1,0
295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
296,0,0,0,0,0,0,0,0
297,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
298,0,0,1,1,0,1,0,0
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,1,1,1,1,0,1,1,0
301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,0,0,0,1,1,1,1,1
303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
304,1,1,1,1,0,1,1,0
305,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
306,0,0,0,1,1,0,0,1
307,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
308,0,0,0,0,1,0,0,0
309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
310,1,0,0,1,0,0,1,0
311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
312,1,0,0,1,1,1,1,1
313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
314,1,1,1,1,0,1,1,1
315,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
316,0,0,0,0,0,0,1,1
317,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
318,1,1,1,1,0,1,1,1
319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
320,0,0,0,1,0,0,1,0
321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
322,1,1,1,1,0,1,1,0
323,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
324,0,1,1,1,0,1,1,0
325,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,0,0,1,0,0,0,0,0
327,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
328,1,0,0,1,0,1,1,0
329,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
330,1,1,1,1,0,1,0,1
331,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
332,0,0,0,0,0,0,1,1
333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
334,0,0,1,1,1,1,1,1
335,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
336,1,1,1,0,0,0,0,0
337,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
338,0,0,0,1,1,1,1,0
339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,1,1,1,1,0,1,1,0
341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
342,0,0,0,0,1,0,0,0
343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
344,0,0,0,0,1,0,0,0
345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
346,1,0,0,1,1,1,0,0
347,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
348,0,0,1,1,0,0,1,1
349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350,1,1,0,1,0,1,1,0
351,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
352,0,0,0,0,1,0,0,0
353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
354,0,0,0,1,0,0,1,1
355,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
356,0,0,0,1,0,1,1,0
357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
358,1,1,1,1,0,1,1,1
359,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
360,1,1,1,1,0,0,1,0
361,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
362,1,1,1,1,0,1,1,1
363,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
364,1,0,1,1,1,1,1,1
365,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
366,1,1,1,0,0,0,0,1
367,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
368,1,1,1,1,0,1,1,0
369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
370,1,1,1,1,0,0,0,1
371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
372,1,1,1,1,0,1,0,0
373,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
374,1,1,0,1,0,1,1,0
375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
376,1,1,1,0,0,0,0,1
377,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
378,1,0,0,1,0,1,1,0
379,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
380,0,0,0,1,0,0,1,1
381,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
382,1,1,1,1,0,1,1,1
383,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
384,1,0,1,1,1,1,1,1
385,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
386,1,1,1,0,0,0,0,1
387,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
388,1,1,1,1,0,1,1,0
389,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
390,0,0,0,1,0,0,1,0
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,0,0,0,0,0,0,1,0
393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394,0,0,0,0,1,0,0,0
395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
396,0,0,0,0,1,0,0,0
397,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
398,0,0,0,0,1,0,0,0
399,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
400,1,0,0,1,0,0,1,1
401,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
402,0,0,1,1,1,1,1,1
403,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
404,0,1,1,1,0,1,1,0
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,1,0,0,0,0,0,1,1
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,1,0,1,1,1,0,1,1
409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
410,1,1,1,1,0,0,0,1
411,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
412,1,1,0,1,0,1,1,0
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,0,0,0,0,1,0,0,0
415,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
416,1,1,1,0,0,0,0,1
417,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
418,0,0,0,1,0,0,1,0
419,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
420,0,0,0,0,1,0,0,0
421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
422,0,0,0,0,1,0,0,0
423,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
424,0,0,0,0,0,0,1,0
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,1,1,1,1,0,1,0,0
427,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
428,1,1,1,1,0,1,1,0
429,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
430,1,1,1,1,0,1,1,0
431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
432,1,0,0,1,1,1,1,0
433,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
434,0,0,0,0,1,0,0,0
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,0,0,0,0,0,0,1,1
437,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
438,1,1,1,1,0,1,1,0
439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,0,0,0,0,1,0,0,0
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,0,0,1,1,1,1,1,1
443,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
444,1,1,1,1,0,1,1,1
445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,0,1,0,1,1,1,1,0
447,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
448,0,0,0,1,1,0,1,0
449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
450,1,1,1,0,0,0,0,1
451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
452,1,1,1,1,0,1,1,1
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,0,1,1,0,0,0,0,0
455,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
456,0,0,1,1,0,1,1,0
457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458,1,0,1,1,1,0,1,0
459,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
460,1,0,0,1,0,1,1,0
461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
462,0,0,1,0,0,1,1,0
463,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
464,0,0,0,1,0,1,1,0
465,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
466,1,1,1,1,0,1,0,1
467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
468,1,0,0,1,0,1,1,0
469,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
470,1,0,0,1,0,1,1,0
471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
472,1,1,0,1,0,1,1,0
473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
474,0,0,0,0,1,0,0,0
475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
476,1,0,0,1,0,0,1,0
477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
478,1,1,1,1,0,1,0,1
479,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
480,1,1,1,1,0,1,1,1
481,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
482,0,0,1,1,0,0,1,1
483,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
484,0,0,0,1,0,0,1,0
485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
486,0,1,1,1,0,1,1,0
487,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
488,0,1,1,1,0,1,1,0
489,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
490,0,0,1,0,0,0,0,0
491,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
492,0,0,0,0,1,0,0,0
493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
494,0,0,1,0,0,0,0,0
495,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
496,0,0,1,0,0,0,0,0
497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,1,0,0,0,0,0
499,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
500,1,0,0,1,0,0,1,0
501,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
502,0,0,0,0,1,0,0,0
503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
504,0,0,1,0,0,0,0,1
505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,1,1,1,0,0,0,0,1
507,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
508,0,0,1,0,0,0,0,0
509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,0,0,0,0,0,0,1,0
511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
512,1,0,0,1,1,0,1,0
513,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
514,0,0,0,0,0,0,1,1
515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
516,0,0,0,0,1,0,0,0
517,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
518,0,0,1,0,0,0,0,0
519,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
520,0,0,0,0,1,0,0,1
521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,1,1,1,0,0,0,0,0
523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,0,0,0,0,1,0,0,0
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,0,0,1,1,0,0,1,1
527,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
528,0,0,0,0,1,0,0,0
529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,0,0,0,0,1,0,0,0
531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0,0,0,1,1,1,1,0
533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,1,0,0,1,1,1,1,0
